Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Myziane Maolida,FRA,FWMF,Hertha BSC,Bundesliga,23,3,0,14,8,57.14,0,1,0,0.0,1,0,1
Sekou Mara,FRA,FWMF,Southampton,Premier League,20,14,0,57,40,70.18,1,0,0,,6,15,1
Pablo Marín,ESP,MFFW,Real Sociedad,La Liga,19,7,0,148,113,76.35,0,3,0,0.0,5,4,1
Marquinhos,BRA,MF,Arsenal,Premier League,19,1,0,0,0,,0,0,0,,0,0,1
Eric Martel,GER,MF,Köln,Bundesliga,20,16,0,456,358,78.51,0,10,2,20.0,20,29,0
Ander Martin,ESP,MFFW,Real Sociedad,La Liga,22,3,0,22,11,50.0,0,4,0,0.0,2,1,1
Andrés Martín,ESP,FW,Rayo Vallecano,La Liga,23,4,0,50,21,42.0,0,11,2,18.18,2,2,1
Iván Martín,ESP,MFFW,Girona,La Liga,23,9,2,221,179,81.0,0,3,1,33.33,2,5,1
Martinelli,BRA,FW,Arsenal,Premier League,21,21,7,704,514,73.01,2,87,3,3.45,10,9,0
Arnau Martinez,ESP,DF,Girona,La Liga,19,17,2,785,632,80.51,1,32,10,31.25,19,17,0
Roger Martínez,ESP,DF,Espanyol,La Liga,18,1,0,4,4,100.0,0,0,0,,0,0,1
Han-Noah Massengo,FRA,MFDF,Auxerre,Ligue 1,21,2,0,41,32,78.05,0,0,0,,2,0,1
Yanis Massolin,FRA,MF,Clermont Foot,Ligue 1,20,4,0,39,31,79.49,0,0,0,,1,2,1
Pape Matar Sarr,SEN,MF,Tottenham,Premier League,20,4,0,98,91,92.86,0,0,0,,5,1,1
Eliot Matazo,BEL,MFFW,Monaco,Ligue 1,20,11,0,214,177,82.71,0,0,0,,2,3,1
Henning Matriciani,GER,DF,Schalke 04,Bundesliga,22,10,0,435,335,77.01,0,3,1,33.33,11,17,0
Chrislain Matsima,FRA,DFMF,Lorient,Ligue 1,20,6,0,128,109,85.16,0,0,0,,0,3,1
Aïman Maurer,MAR,MF,Clermont Foot,Ligue 1,18,2,0,40,33,82.5,0,2,0,0.0,1,1,1
Christian Mawissa,FRA,DF,Toulouse,Ligue 1,17,2,0,47,41,87.23,0,1,0,0.0,0,1,1
Bryan Mbeumo,CMR,FW,Brentford,Premier League,23,22,5,503,335,66.6,2,73,8,10.96,6,17,0
Jason Mbock,FRA,MFFW,Angers,Ligue 1,23,2,0,9,6,66.67,0,4,0,0.0,0,0,1
Nathanael Mbuku,FRA,FWMF,Reims,Ligue 1,20,6,0,28,23,82.14,0,2,0,0.0,1,0,1
Dwight McNeil,ENG,FWDF,Everton,Premier League,23,19,2,400,289,72.25,2,69,5,7.25,20,4,1
Facundo Medina,ARG,DF,Lens,Ligue 1,23,20,1,1600,1441,90.06,2,16,6,37.5,13,18,0
Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,3,0,128,116,90.62,0,0,0,,0,7,1
Nuno Mendes,POR,DFMF,Paris S-G,Ligue 1,20,14,1,505,427,84.55,4,13,2,15.38,18,6,0
Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,19,1,0,0,0,,0,0,0,,0,0,1
Antoine Mendy,FRA,DF,Nice,Ligue 1,18,6,0,119,99,83.19,1,1,0,0.0,5,4,1
Batista Mendy,FRA,MFDF,Angers,Ligue 1,23,20,0,809,692,85.54,0,5,2,40.0,17,19,0
Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,16,0,900,677,75.22,1,85,11,12.94,13,11,0
Illan Meslier,FRA,GK,Leeds United,Premier League,22,21,0,636,382,60.06,0,0,0,,0,6,0
Alexander Mighten,ENG,FW,Nott'ham Forest,Premier League,20,1,0,1,1,100.0,0,0,0,,0,0,1
Tommaso Milanese,ITA,MF,Cremonese,Serie A,20,2,0,14,10,71.43,0,2,0,0.0,0,0,1
Enzo Millot,FRA,MF,Stuttgart,Bundesliga,20,11,0,150,119,79.33,0,9,0,0.0,7,2,1
Marko Milovanovi?,SRB,FW,Almería,La Liga,19,2,0,8,3,37.5,0,0,0,,0,4,1
Óscar Mingueza,ESP,DF,Celta Vigo,La Liga,23,16,0,675,539,79.85,0,21,3,14.29,15,4,0
Juan Miranda,ESP,DF,Betis,La Liga,23,5,0,158,110,69.62,0,11,1,9.09,5,2,1
Fabio Miretti,ITA,MFFW,Juventus,Serie A,19,18,0,369,262,71.0,1,17,1,5.88,7,4,1
Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,23,20,0,808,573,70.92,2,29,5,17.24,20,14,0
Terem Moffi,NGA,FW,Nice,Ligue 1,23,2,0,24,18,75.0,0,1,1,100.0,0,2,1
Terem Moffi,NGA,FW,Lorient,Ligue 1,23,18,12,208,154,74.04,0,3,0,0.0,5,13,1
Clinton Mola,ENG,DF,Stuttgart,Bundesliga,21,1,0,5,2,40.0,0,1,0,0.0,1,1,1
Monchu,ESP,MF,Valladolid,La Liga,23,17,1,531,412,77.59,1,43,2,4.65,16,7,0
Daniele Montevago,ITA,FW,Sampdoria,Serie A,19,6,0,40,23,57.5,0,1,0,0.0,0,14,1
Andrew Moran,IRL,FW,Brighton,Premier League,19,1,0,3,1,33.33,0,0,0,,0,0,1
Diego Moreno,ESP,DF,Osasuna,La Liga,21,5,0,229,151,65.94,0,16,1,6.25,4,4,1
